date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,,,,,,,,,,1972
07/03/1963,,,,,,,,,,1976
07/05/1963,,,,,,,,,,1974
07/08/1963,,,,,,,,,,1971
07/09/1963,,,,,,,,,,1975
07/10/1963,,,,,,,,,,1975
07/11/1963,,,,,,,,,,1975
07/12/1963,,,,,,,,,,1975
07/15/1963,,,,,,,,,,1975
07/16/1963,,,,,,,,,,1975
07/17/1963,,,,,,,,,,1973
07/18/1963,,,,,,,,,,1975
07/19/1963,,,,,,,,,,1971
07/22/1963,,,,,,,,,,1973
07/23/1963,,,,,,,,,,1976
07/24/1963,,,,,,,,,,1975
07/25/1963,,,,,,,,,,1973
07/26/1963,,,,,,,,,,1976
07/29/1963,,,,,,,,,,1970
07/30/1963,,,,,,,,,,1974
07/31/1963,,,,,,,,,,1974
08/01/1963,,,,,,,,,,1975
08/02/1963,,,,,,,,,,1972
08/05/1963,,,,,,,,,,1971
08/06/1963,,,,,,,,,,1971
08/07/1963,,,,,,,,,,1968
08/08/1963,,,,,,,,,,1971
08/09/1963,,,,,,,,,,1970
08/12/1963,,,,,,,,,,1968
08/13/1963,,,,,,,,,,1970
08/14/1963,,,,,,,,,,1969
08/15/1963,,,,,,,,,,1970
08/16/1963,,,,,,,,,,1970
08/19/1963,,,,,,,,,,1967
08/20/1963,,,,,,,,,,1970
08/21/1963,,,,,,,,,,1970
08/22/1963,,,,,,,,,,1969
08/23/1963,,,,,,,,,,1970
08/26/1963,,,,,,,,,,1969
08/27/1963,,,,,,,,,,1970
08/28/1963,,,,,,,,,,1970
08/29/1963,,,,,,,,,,1969
08/30/1963,,,,,,,,,,1969
09/03/1963,,,,,,,,,,1967
09/04/1963,,,,,,,,,,1968
09/05/1963,,,,,,,,,,1967
09/06/1963,,,,,,,,,,1965
09/09/1963,,,,,,,,,,1962
09/10/1963,,,,,,,,,,1963
09/11/1963,,,,,,,,,,1963
09/12/1963,,,,,,,,,,1965
09/13/1963,,,,,,,,,,1964
09/16/1963,,,,,,,,,,1964
09/17/1963,,,,,,,,,,1962
09/18/1963,,,,,,,,,,1963
09/19/1963,,,,,,,,,,1962
09/20/1963,,,,,,,,,,1963
09/23/1963,,,,,,,,,,1964
09/24/1963,,,,,,,,,,1962
09/25/1963,,,,,,,,,,1964
09/26/1963,,,,,,,,,,1963
09/27/1963,,,,,,,,,,1962
09/30/1963,,,,,,,,,,1961
10/01/1963,,,,,,,,,,1957
10/02/1963,,,,,,,,,,1960
10/03/1963,,,,,,,,,,1960
10/04/1963,,,,,,,,,,1957
10/07/1963,,,,,,,,,,1955
10/08/1963,,,,,,,,,,1950
10/09/1963,,,,,,,,,,1954
10/10/1963,,,,,,,,,,1958
10/11/1963,,,,,,,,,,1953
10/14/1963,,,,,,,,,,1955
10/15/1963,,,,,,,,,,1957
10/16/1963,,,,,,,,,,1953
10/17/1963,,,,,,,,,,1958
10/18/1963,,,,,,,,,,1951
10/21/1963,,,,,,,,,,1955
10/22/1963,,,,,,,,,,1955
10/23/1963,,,,,,,,,,1950
10/24/1963,,,,,,,,,,1956
10/25/1963,,,,,,,,,,1952
10/28/1963,,,,,,,,,,1953
